"";"title";"Year"
"187";"In a Better World";"2010"
"188";"The Lost Thing";"2010"
"189";"God of Love";"2010"
"190";"The Wolfman";"2010"
"191";"Strangers No More";"2010"
"192";"Inside Job";"2010"
"193";"The Hurt Locker";"2009"
"194";"Avatar";"2009"
"195";"Precious";"2009"
"196";"Up";"2009"
"197";"Crazy Heart";"2009"
"198";"Inglourious Basterds";"2009"
"199";"Star Trek";"2009"
"200";"The Young Victoria";"2009"
"201";"The Blind Side";"2009"
"202";"Music by Prudence";"2009"
"203";"The Secret in Their Eyes";"2009"
"204";"The Cove";"2009"
"205";"The New Tenants";"2009"
"206";"Logorama";"2009"
"207";"Slumdog Millionaire";"2008"
"208";"The Curious Case of Benjamin Button";"2008"
"209";"Milk";"2008"
"210";"The Dark Knight";"2008"
"211";"WALL-E";"2008"
"212";"The Reader";"2008"
"213";"The Duchess";"2008"
"214";"Departures";"2008"
"215";"Vicky Cristina Barcelona";"2008"
"216";"Smile Pinki";"2008"
"217";"Man on Wire";"2008"
"218";"Toyland";"2008"
"219";"La Maison en Petits Cubes";"2008"
"220";"No Country for Old Men";"2007"
"221";"The Bourne Ultimatum";"2007"
"222";"There Will Be Blood";"2007"
"223";"La Vie en rose";"2007"
"224";"Atonement";"2007"
"225";"Michael Clayton";"2007"
"226";"Ratatouille";"2007"
"227";"Juno";"2007"
"228";"Sweeney Todd: The Demon Barber of Fleet Street";"2007"
"229";"The Golden Compass";"2007"
"230";"Elizabeth: The Golden Age";"2007"
"231";"Taxi to the Dark Side";"2007"
"232";"Peter & the Wolf";"2007"
"233";"Once";"2007"
"234";"Le Mozart des pickpockets";"2007"
"235";"The Counterfeiters (Die Fälscher)";"2007"
"236";"Freeheld";"2007"
"237";"The Departed";"2006"
"238";"Pan's Labyrinth (El laberinto del fauno)";"2006"
"239";"Dreamgirls";"2006"
"240";"Little Miss Sunshine";"2006"
"241";"An Inconvenient Truth";"2006"
"242";"Babel";"2006"
"243";"The Queen";"2006"
"244";"Letters from Iwo Jima";"2006"
"245";"Pirates of the Caribbean: Dead Man's Chest";"2006"
"246";"The Danish Poet";"2006"
"247";"Happy Feet";"2006"
"248";"The Last King of Scotland";"2006"
"249";"The Lives of Others (Das Leben der Anderen)";"2006"
"250";"Marie Antoinette";"2006"
"251";"West Bank Story";"2006"
"252";"The Blood of Yingzhou District";"2006"
"253";"Crash";"2005"
"254";"Brokeback Mountain";"2005"
"255";"Memoirs of a Geisha";"2005"
"256";"King Kong";"2005"
"257";"Capote";"2005"
"258";"Walk the Line";"2005"
"259";"The Constant Gardener";"2005"
"260";"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe";"2005"
"261";"Hustle & Flow";"2005"
"262";"Syriana";"2005"
"263";"March of the Penguins (La Marche de l'empereur)";"2005"
"264";"Six Shooter";"2005"
"265";"The Moon and the Son: An Imagined Conversation";"2005"
"266";"A Note of Triumph: The Golden Age of Norman Corwin";"2005"
"267";"Tsotsi";"2005"
"268";"Wallace & Gromit: The Curse of the Were-Rabbit";"2005"
"269";"Million Dollar Baby";"2004"
"270";"The Aviator";"2004"
"271";"Ray";"2004"
"272";"The Incredibles";"2004"
"273";"Finding Neverland";"2004"
"274";"Sideways";"2004"
"275";"Lemony Snicket's A Series of Unfortunate Events";"2004"
"276";"Spider-Man 2";"2004"
"277";"Eternal Sunshine of the Spotless Mind";"2004"
